58,"Perry, N. Nick",Kings - Brooklyn,"District 58 - Perry, N. Nick (Kings - Brooklyn)",PerryN@nyassembly.gov
59,"Williams, Jaime R.",Kings - Brooklyn,"District 59 - Williams, Jaime R. (Kings - Brooklyn)",williamsja@nyassembly.gov
60,"Barron, Charles",Kings - Brooklyn,"District 60 - Barron, Charles (Kings - Brooklyn)",barronc@nyassembly.gov
61,"Fall, Charles D.",Richmond,"District 61 - Fall, Charles D. (Richmond)",fallc@nyassembly.gov
62,"Reilly, Michael",Richmond,"District 62 - Reilly, Michael (Richmond)",reillym@nyassembly.gov
63,"Cusick, Michael",Richmond,"District 63 - Cusick, Michael (Richmond)",CusickM@nyassembly.gov
64,"Malliotakis, Nicole",Kings - Brooklyn,"District 64 - Malliotakis, Nicole (Kings - Brooklyn)",malliotakisn@nyassembly.gov
65,"Niou, Yuh-Line",New York,"District 65 - Niou, Yuh-Line (New York)",niouy@nyassembly.gov
66,"Glick, Deborah J.",New York,"District 66 - Glick, Deborah J. (New York)",GlickD@nyassembly.gov
67,"Rosenthal, Linda B.",New York,"District 67 - Rosenthal, Linda B. (New York)",RosentL@nyassembly.gov
68,"Rodriguez, Robert J.",New York,"District 68 - Rodriguez, Robert J. (New York)",Rrodriguez@nyassembly.gov
69,"O'Donnell, Daniel J.",New York,"District 69 - O'Donnell, Daniel J. (New York)",OdonnellD@nyassembly.gov
70,"Dickens, Inez E.",New York,"District 70 - Dickens, Inez E. (New York)",DickensI@nyassembly.gov
71,"Taylor, Al",New York,"District 71 - Taylor, Al (New York)",taylora@nyassembly.gov
72,"De La Rosa, Carmen N.",New York,"District 72 - De La Rosa, Carmen N. (New York)",delaRosac@nyassembly.gov
73,"Quart, Dan",New York,"District 73 - Quart, Dan (New York)",quartd@nyassembly.gov
74,"Epstein, Harvey",New York,"District 74 - Epstein, Harvey (New York)",epsteinh@nyassembly.gov
75,"Gottfried, Richard N.",New York,"District 75 - Gottfried, Richard N. (New York)",GottfriedR@nyassembly.gov
76,"Seawright, Rebecca A.",New York,"District 76 - Seawright, Rebecca A. (New York)",SeawrightR@nyassembly.gov
77,"Joyner, Latoya",Bronx,"District 77 - Joyner, Latoya (Bronx)",joynerl@nyassembly.gov
78,"Rivera, Jose",Bronx,"District 78 - Rivera, Jose (Bronx)",RiveraJ@nyassembly.gov
79,"Blake, Michael",Bronx,"District 79 - Blake, Michael (Bronx)",BlakeM@nyassembly.gov
80,"Fernandez, Nathalia",Bronx,"District 80 - Fernandez, Nathalia (Bronx)",fernandezn@nyassembly.gov
81,"Dinowitz, Jeffrey",Bronx,"District 81 - Dinowitz, Jeffrey (Bronx)",DinowiJ@nyassembly.gov
82,"Benedetto, Michael ",Bronx,"District 82 - Benedetto, Michael  (Bronx)",benedettom@nyassembly.gov
83,"Heastie, Carl E.",Bronx,"District 83 - Heastie, Carl E. (Bronx)",Speaker@nyassembly.gov
84,"Arroyo, Carmen E.",Bronx,"District 84 - Arroyo, Carmen E. (Bronx)",ArroyoC@nyassembly.gov
85,"Crespo, Marcos A.",Bronx,"District 85 - Crespo, Marcos A. (Bronx)",burgosk@nyassembly.gov
86,"Pichardo, Victor M.",Bronx,"District 86 - Pichardo, Victor M. (Bronx)",PichardoV@nyassembly.gov
87,"Reyes, Karines",Bronx,"District 87 - Reyes, Karines (Bronx)",reyesk@nyassembly.gov
88,"Paulin, Amy",Westchester,"District 88 - Paulin, Amy (Westchester)",PaulinA@nyassembly.gov
89,"Pretlow, J. Gary",Westchester,"District 89 - Pretlow, J. Gary (Westchester)",PretloJ@nyassembly.gov
90,"Sayegh, Nader J.",Westchester,"District 90 - Sayegh, Nader J. (Westchester)",sayeghn@nyassembly.gov
91,"Otis, Steven",Westchester,"District 91 - Otis, Steven (Westchester)",OtisS@nyassembly.gov
92,"Abinanti, Thomas J.",Westchester,"District 92 - Abinanti, Thomas J. (Westchester)",abinantit@nyassembly.gov
93,"Buchwald, David",Westchester,"District 93 - Buchwald, David (Westchester)",BuchwaldD@nyassembly.gov
94,"Byrne, Kevin M.","Westchester, Putnam","District 94 - Byrne, Kevin M. (Westchester, Putnam)",ByrneK@nyassembly.gov
95,"Galef, Sandy","Westchester, Putnam","District 95 - Galef, Sandy (Westchester, Putnam)",GalefS@nyassembly.gov
96,"Zebrowski, Kenneth",Rockland,"District 96 - Zebrowski, Kenneth (Rockland)",ZebrowskiK@nyassembly.gov
97,"Jaffee, Ellen",Rockland,"District 97 - Jaffee, Ellen (Rockland)",JaffeeE@nyassembly.gov
98,"Brabenec, Karl","Orange, Rockland","District 98 - Brabenec, Karl (Orange, Rockland)",brabeneck@nyassembly.gov
99,"Schmitt, Colin","Orange, Rockland","District 99 - Schmitt, Colin (Orange, Rockland)",schmittc@nyassembly.gov
100,"Gunther, Aileen M.","Orange, Sullivan","District 100 - Gunther, Aileen M. (Orange, Sullivan)",GuntheA@nyassembly.gov
101,"Miller, Brian D.","Delaware, Herkimer, Oneida, Orange, Otsego, Sullivan, Ulster","District 101 - Miller, Brian D. (Delaware, Herkimer, Oneida, Orange, Otsego, Sullivan, Ulster)",millerb@nyassembly.gov
102,"Tague, Chris","Albany, Columbia, Delaware, Greene, Ostsego, Schoharie, Ulster","District 102 - Tague, Chris (Albany, Columbia, Delaware, Greene, Ostsego, Schoharie, Ulster)",taguec@nyassembly.gov
103,"Cahill, Kevin A.","Dutchess, Ulster","District 103 - Cahill, Kevin A. (Dutchess, Ulster)",CahillK@nyassembly.gov
104,"Jacobson, Jonathan G.","Dutchess, Orange, Ulster","District 104 - Jacobson, Jonathan G. (Dutchess, Orange, Ulster)",jacobsonj@nyassembly.gov
105,"Lalor, Kieran M.",Dutchess,"District 105 - Lalor, Kieran M. (Dutchess)",LalorK@nyassembly.gov
106,"Barrett, Didi","Columbia, Dutchess","District 106 - Barrett, Didi (Columbia, Dutchess)",barrettd@nyassembly.gov
107,"Ashby, Jacob","Columbia, Rensselaer, Washington","District 107 - Ashby, Jacob (Columbia, Rensselaer, Washington)",ashbyj@nyassembly.gov
108,"McDonald, John T., III","Albany, Rensselaer, Saratoga","District 108 - McDonald, John T., III (Albany, Rensselaer, Saratoga)",McDonaldJ@nyassembly.gov
109,"Fahy, Patricia",Albany,"District 109 - Fahy, Patricia (Albany)",FahyP@nyassembly.gov
110,"Steck, Phil","Albany, Schenectady","District 110 - Steck, Phil (Albany, Schenectady)",SteckP@nyassembly.gov
111,"Santabarbara, Angelo","Albany, Montgomery, Schenectady","District 111 - Santabarbara, Angelo (Albany, Montgomery, Schenectady)",SantabarbaraA@nyassembly.gov
112,"Walsh, Mary Beth","Saratoga, Schenectady","District 112 - Walsh, Mary Beth (Saratoga, Schenectady)",walshm@nyassembly.gov
113,"Woerner, Carrie","Saratoga, Washington","District 113 - Woerner, Carrie (Saratoga, Washington)",woernerc@nyassembly.gov
114,"Stec, Dan","Essex, Saratoga, Warren, Washington","District 114 - Stec, Dan (Essex, Saratoga, Warren, Washington)",StecD@nyassembly.gov
115,"Jones, Billy","Clinton, Franklin, St. Lawrence","District 115 - Jones, Billy (Clinton, Franklin, St. Lawrence)",jonesb@nyassembly.gov
116,"Walczyk, Mark","Jefferson, St. Lawrence","District 116 - Walczyk, Mark (Jefferson, St. Lawrence)",walczykm@nyassembly.gov
117,"Blankenbush, Ken","Jefferson, Lewis, Oneida, St. Lawrence","District 117 - Blankenbush, Ken (Jefferson, Lewis, Oneida, St. Lawrence)",blankenbushk@nyassembly.gov
118,"Smullen, Robert","Fulton, Hamilton, Herkimer, Oneida, St. Lawrence","District 118 - Smullen, Robert (Fulton, Hamilton, Herkimer, Oneida, St. Lawrence)",smullenr@nyassembly.gov
119,"Buttenschon, Marianne","Herkimer, Oneida","District 119 - Buttenschon, Marianne (Herkimer, Oneida)",buttenschonm@nyassembly.gov
120,"Barclay, William A. ","Jefferson, Onondaga, Oswego","District 120 - Barclay, William A.  (Jefferson, Onondaga, Oswego)",BarclaW@nyassembly.gov
121,"Salka, John","Madison, Oneida, Otsego","District 121 - Salka, John (Madison, Oneida, Otsego)",salkaj@nyassembly.gov
122,"Crouch, Clifford W.","Broome, Chenango, Delaware, Otsego","District 122 - Crouch, Clifford W. (Broome, Chenango, Delaware, Otsego)",CrouchC@nyassembly.gov
123,"Lupardo, Donna A.",Broome,"District 123 - Lupardo, Donna A. (Broome)",LupardoD@nyassembly.gov
124,"Friend, Christopher S.","Broome, Chemung, Tioga","District 124 - Friend, Christopher S. (Broome, Chemung, Tioga)",friendc@nyassembly.gov
125,"Lifton, Barbara","Cortland, Tompkins","District 125 - Lifton, Barbara (Cortland, Tompkins)",LiftonB@nyassembly.gov
126,"Finch, Gary D.","Cayuga, Chenango, Cortland, Onondaga","District 126 - Finch, Gary D. (Cayuga, Chenango, Cortland, Onondaga)",FinchG@nyassembly.gov
127,"Stirpe, Al",Onondaga,"District 127 - Stirpe, Al (Onondaga)",StirpeA@nyassembly.gov
128,"Hunter, Pamela J.",Onondaga,"District 128 - Hunter, Pamela J. (Onondaga)",HunterP@nyassembly.gov
129,"Magnarelli, William B.",Onondaga,"District 129 - Magnarelli, William B. (Onondaga)",MagnarW@nyassembly.gov
130,"Manktelow, Brian","Cayuga, Oswego, Wayne","District 130 - Manktelow, Brian (Cayuga, Oswego, Wayne)",manktelowb@nyassembly.gov
131,"Kolb, Brian M.","Ontario, Seneca","District 131 - Kolb, Brian M. (Ontario, Seneca)",KolbB@nyassembly.gov
132,"Palmesano, Philip A.","Chemung, Schuyler, Seneca, Steuben, Yates","District 132 - Palmesano, Philip A. (Chemung, Schuyler, Seneca, Steuben, Yates)",palmesanop@nyassembly.gov
133,"Byrnes, Marjorie","Livingston, Monroe, Steuben","District 133 - Byrnes, Marjorie (Livingston, Monroe, Steuben)",byrnesm@nyassembly.gov
134,"Lawrence, Peter",Monroe,"District 134 - Lawrence, Peter (Monroe)",lawrencep@nyassembly.gov
135,"Johns, Mark",Monroe,"District 135 - Johns, Mark (Monroe)",johnsm@nyassembly.gov
136,Vacant,Monroe,District 136 - Vacant (Monroe),clarks@nyassembly.gov
137,"Gantt, David F.",Monroe,"District 137 - Gantt, David F. (Monroe)",meeksd@nyassembly.gov
138,"Bronson, Harry B.",Monroe,"District 138 - Bronson, Harry B. (Monroe)",bronsonh@nyassembly.gov
139,"Hawley, Stephen","Genesee, Monroe, Orleans","District 139 - Hawley, Stephen (Genesee, Monroe, Orleans)",HawleyS@nyassembly.gov
140,"Schimminger, Robin","Erie, Niagara","District 140 - Schimminger, Robin (Erie, Niagara)",schimmingerr@nyassembly.gov
141,"Peoples-Stokes, Crystal D.",Erie,"District 141 - Peoples-Stokes, Crystal D. (Erie)",PeopleC@nyassembly.gov
142,"Burke, Pat",Erie,"District 142 - Burke, Pat (Erie)",burkep@nyassembly.gov
143,"Wallace, Monica P.",Erie,"District 143 - Wallace, Monica P. (Erie)",wallacem@nyassembly.gov
144,"Norris, Michael J.","Erie, Niagara, Orleans","District 144 - Norris, Michael J. (Erie, Niagara, Orleans)",norrism@nyassembly.gov
145,"Morinello, Angelo J.","Erie, Niagara","District 145 - Morinello, Angelo J. (Erie, Niagara)",morinelloa@nyassembly.gov
146,"McMahon, Karen","Erie, Niagara","District 146 - McMahon, Karen (Erie, Niagara)",mcmahonk@nyassembly.gov
147,"DiPietro, David","Erie, Wyoming","District 147 - DiPietro, David (Erie, Wyoming)",DiPietroD@nyassembly.gov
148,"Giglio, Joseph M.","Allegany, Cattaraugus, Steuben","District 148 - Giglio, Joseph M. (Allegany, Cattaraugus, Steuben)",GiglioJ@nyassembly.gov
149,"Ryan, Sean",Erie,"District 149 - Ryan, Sean (Erie)",RyanS@nyassembly.gov
150,"Goodell, Andy",Chautauqua,"District 150 - Goodell, Andy (Chautauqua)",goodella@nyassembly.gov
